,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
17,4/18/2022 15:05:05,10-15 years,Creative Pro,2-5 years,30.29,"$63,000.00","$2,500.00",31-40,CA,White,Man,1
38,4/18/2022 16:20:04,2-5 years,People Operations Planner,2-5 years,24.74,"$52,000.00","2,500",21-30,DC,Hispanic or Latino or Spanish Origin of any race,Woman,1
405,4/22/2022 11:02:52,10-15 years,Business Expert,2-5 years,27.0,"$56,160","$1,000",31-40,DC,Black or African American,Man,1
680,6/7/2022 22:43:43,0-1 years,Technical Specialist,0-1 years,21.0,"$23,000",0,21-30,DC,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming,1
77,4/18/2022 19:57:19,6-10 years,Genius,2-5 years,24.0,"$52,000.00","2,000",31-40,DE,White,Man,1
456,4/22/2022 22:43:15,6-10 years,Genius,6-8 years,27.0,"$58,000","$2,000",21-30,FL,Asian,Man,1
238,4/20/2022 12:03:59,2-5 years,Technical Specialist,2-5 years,20.56,"$42,744 USD",$500.00,31-40,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
327,4/21/2022 12:37:00,6-10 years,Expert,6-8 years,27.5,"$57,200","$3,000",41-50,FL,White,Man,1
373,4/21/2022 23:02:54,2-5 years,Genius,0-1 years,26.75,"$52,000","$2,000",21-30,FL,White,Woman,1
285,4/20/2022 23:49:18,10-15 years,Lead,2-5 years,33.7,"$70,102","$3,000",31-40,FL,White,Man,1
230,4/20/2022 9:01:23,6-10 years,Manager,9-11 years,45.73,"$95,110.00","$12,000.00",41-50,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
231,4/20/2022 9:15:35,6-10 years,Expert,6-8 years,26.12,"$54,321.00","$2,000.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
347,4/21/2022 16:40:48,2-5 years,Pro,0-1 years,27.54,"$55,700","$2,500",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
182,4/19/2022 14:07:29,2-5 years,Pro,2-5 years,26.66,"$55,452.00","$3,500.00",31-40,FL,White,Woman,1
286,4/21/2022 0:23:29,6-10 years,Expert,0-1 years,24.5,"$59,000","$2,000",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
215,4/19/2022 23:51:40,10-15 years,Business Expert,2-5 years,25.02,"$53,000.00","$1,500.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
356,4/21/2022 19:18:39,2-5 years,Technical Expert,2-5 years,22.0,"$42,000 USD","$1,500 USD",21-30,FL,White,Woman,1
255,4/20/2022 16:28:14,6-10 years,Genius,0-1 years,28.95,60100,2500,21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
665,5/26/2022 18:53:42,10-15 years,programming expert,0-1 years,28.95,"$60,000",2000,31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
185,4/19/2022 14:40:48,6-10 years,ft t2,2-5 years,24.0,"$49,762.00","$6,523.00",41-50,FL,White,Man,1
371,4/21/2022 22:24:13,2-5 years,Pro,0-1 years,27.25,"61,000",1500,21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
291,4/21/2022 2:18:33,2-5 years,Technical Expert,2-5 years,24.5,"51,500",1200 USD,31-40,FL,White,Man,1
324,4/21/2022 12:07:05,6-10 years,Technical Expert,2-5 years,24.69,"51,355.20",2000,21-30,FL,White,Man,1
204,4/19/2022 21:29:48,6-10 years,Business Expert,2-5 years,24.0,"$46,000.00","$2,200.00",31-40,FL,White,Man,1
342,4/21/2022 14:46:29,10-15 years,Genius,2-5 years,28.4,"$59,062","2,000",31-40,FL,White,Woman,1
332,4/21/2022 13:12:22,2-5 years,Expert,2-5 years,24.0,52,2200,21-30,FL,Black or African American,Man,1
161,4/19/2022 11:06:20,6-10 years,Technical Specialist,2-5 years,24.5,"$49,000.00","$1,500.00",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
191,4/19/2022 16:16:25,10-15 years,Genius,6-8 years,27.62,"$63,000.00","$2,000.00",41-50,FL,White,Man,1
157,4/19/2022 10:50:00,6-10 years,Operations Specialist,2-5 years,21.84,"$45,409.00","$1,500.00",21-30,FL,White,Man,1
243,4/20/2022 13:21:14,6-10 years,Technical Specialist,2-5 years,21.0,28k,"$2,000.00",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
338,4/21/2022 14:10:22,6-10 years,online personal sessions,0-1 years,23.5,$48k,"$2,353.26",51-60,FL,I choose not to disclose,Man,1
584,4/29/2022 18:02:18,10-15 years,Lead,2-5 years,34.0,$70k,$3k,31-40,DE,I choose not to disclose,I choose not to disclose,1
565,4/28/2022 10:00:31,2-5 years,Technical Expert,0-1 years,23.75,"$27,360","$2,000",21-30,DE,White,Man,1
283,4/20/2022 23:15:14,10-15 years,Technical Specialist,9-11 years,22.63,"$47,062","$1,500",41-50,FL,White,Man,1
664,5/26/2022 14:57:39,2-5 years,Specialist,2-5 years,23.0,"$25,000","$1,500",21-30,CA,Asian,Man,1
657,5/24/2022 19:55:12,10-15 years,Operations Expert,6-8 years,29.5,"$60,000","$2,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
39,4/18/2022 16:25:36,6-10 years,Technical Specialist,2-5 years,24.6,"$50,000.00","2,000",21-30,CA,Black or African American,Man,1
404,4/22/2022 10:57:08,2-5 years,Genius Admin,2-5 years,29.73,"60,000","$2,500",21-30,CA,White,Woman,1
399,4/22/2022 10:43:46,6-10 years,Operations Expert,2-5 years,30.0,"$62,000.00 USD","$4,000.00 USD",21-30,CA,White,Man,1
377,4/21/2022 23:44:31,2-5 years,Business Expert,0-1 years,29.75,"61,000","1,500",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
378,4/21/2022 23:48:09,2-5 years,Genius,2-5 years,32.5,"67,770","2,000",21-30,CA,White,Man,1
380,4/22/2022 0:22:52,6-10 years,network engineer,2-5 years,36.93,"$76,818","$3,000.00",31-40,CA,White,Man,1
499,4/24/2022 15:17:41,10-15 years,Manager,6-8 years,41.0,"86,000","16,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
461,4/22/2022 23:17:10,2-5 years,Operations Specialist,2-5 years,23.42,"$48,000","$2,500",31-40,CA,White,Woman,1
78,4/18/2022 19:57:48,6-10 years,Business Pro,2-5 years,28.0,"$60,000.00",X,21-30,CA,Asian,Man,1
322,4/21/2022 11:59:46,2-5 years,Genius,0-1 years,25.8,"$38,000","$3,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
518,4/25/2022 17:24:54,6-10 years,Technical Expert,2-5 years,27.25,"$34,700","$2,500",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
526,4/25/2022 22:03:45,2-5 years,Technical Expert,0-1 years,26.3,"54,704","3,000",21-30,CA,White,Woman,1
529,4/25/2022 22:06:50,2-5 years,Business Pro,0-1 years,30.06,"$62,000","$1,015",31-40,CA,White,Man,1
534,4/26/2022 0:50:37,2-5 years,Technical Expert,0-1 years,24.27,"$30,000","$2,000",21-30,CA,Asian,Man,1
141,4/19/2022 7:00:27,6-10 years,Lead,0-1 years,33.17,"$69,000.00","$25,000.00",21-30,CA,White,Man,1
311,4/21/2022 9:46:25,6-10 years,Technical Expert,2-5 years,24.5,~50k,"$3,000",21-30,CA,White,Man,1
83,4/18/2022 20:58:00,10-15 years,Senior Manager,2-5 years,51.92,108000,"25,000",31-40,CA,White,Man,1
339,4/21/2022 14:18:07,2-5 years,Technical Expert,2-5 years,26.64,"$56,560","$2,500",21-30,CA,White,Man,1
208,4/19/2022 22:43:07,2-5 years,Genius,2-5 years,32.0,"$60,000.00","$2,000.00",21-30,CA,I choose not to disclose,I choose not to disclose,1
323,4/21/2022 12:05:52,2-5 years,Lead Genius,2-5 years,35.03,"$72,846","$3,578",31-40,CA,White,Man,1
381,4/22/2022 0:30:23,2-5 years,Technical Expert,0-1 years,25.25,"36,000",1500,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
